index,yield,radiation,rain,avg_min_temp,avg_max_temp
1,-0.865483871,353675.05,2161.05,3.123339254,15.75022202
2,-0.167419355,368592.85,2298.69,3.430704467,16.07037801
3,-0.272903226,378364.79,2362.68,3.738790932,16.35102435
4,-0.121612903,390791.26,2451.11,4.072745098,16.68990196
5,0.512490323,126696.15,853.02,1.696792929,13.91760101
6,1.425109677,143767.6,950.08,2.944943052,15.24603645
7,-0.505032258,152893.15,1063.42,3.927038627,16.12427039
8,0.343006452,170701.59,1159.48,4.738718447,16.96141748
9,2.211107692,354427.74,2166.76,2.118117229,14.88994671
10,-0.882553846,367987.94,2320.26,2.460577089,15.23031008
11,0.645230769,379100.41,2403.34,2.784011775,15.55472666
12,-0.3172,391460.5,2439.24,3.13047502,15.9217199
13,-1.508974359,126350.46,899.54,2.37478481,15.24318987
14,0.278553846,139549.54,1029.27,3.117523364,15.97182243
15,-0.560430769,153024.73,1105.11,4.066695464,16.85775378
16,0.248,170604.73,1286.11,4.871311155,17.73027397
17,-0.536666667,236724.38,1693.89,3.171099338,15.62235762
18,-0.2724,248953.26,1770.14,3.644523507,16.08387548
19,-0.513466667,263706.83,1779.96,4.1956691,16.695
20,-0.285333333,277368.19,1979.82,4.764537037,17.21226852
