index,yield,radiation,rain,avg_min_temp,avg_max_temp
1,3.982307692,354427.74,2166.76,2.118117229,14.88994671
2,1.683846154,367987.94,2320.26,2.460577089,15.23031008
3,1.619230769,379100.41,2403.34,2.784011775,15.55472666
4,0.61,391460.5,2439.24,3.13047502,15.9217199
5,2.473333333,126350.46,899.54,2.37478481,15.24318987
6,1.9624,139549.54,1029.27,3.117523364,15.97182243
7,1.0588,153024.73,1105.11,4.066695464,16.85775378
8,0.858,170604.73,1286.11,4.871311155,17.73027397
9,1.936666667,236724.38,1693.89,3.171099338,15.62235762
10,1.69,248953.26,1770.14,3.644523507,16.08387548
11,0.545333333,263706.83,1779.96,4.1956691,16.695
12,0.572666667,277368.19,1979.82,4.764537037,17.21226852
13,3.884,360208.29,2598.8,2.781462347,15.17169877
14,2.465333333,372333.99,2651.18,3.080170794,15.50437233
15,1.040666667,381807.61,2772.54,3.406535893,15.80889816
16,0.418,401118.77,2845.63,3.72634984,16.19904952
17,1.5875,239119.52,1590.64,1.701487384,14.17831341
18,2.83875,249300.07,1715.49,2.067003841,14.53441741
19,2.195,261405,1862.94,2.542820197,15.00083744
20,1.48625,271709.75,1963.49,2.927630952,15.40058333
21,2.61,351989.28,2454.17,1.677290837,13.73831843
22,3.1325,364625.56,2683.19,2.101702945,14.1400954
23,1.27125,378890.07,2928.61,2.546502463,14.6292953
24,1.165,393383.08,3047.82,2.932297619,15.01457792
25,1.866153846,238887.66,2095.41,1.95851369,13.73706649
26,1.593846154,249675.16,2203.16,2.438467337,14.19643216
27,1.636923077,262000.33,2249.69,3.121411339,14.85823884
28,0.878461538,273082.13,2343.29,3.484749709,15.27118743
