index,yield,radiation,rain,avg_min_temp,avg_max_temp
1,2.211107692,354427.74,2166.76,2.118117229,14.88994671
2,-0.882553846,367987.94,2320.26,2.460577089,15.23031008
3,0.645230769,379100.41,2403.34,2.784011775,15.55472666
4,-0.3172,391460.5,2439.24,3.13047502,15.9217199
5,-1.508974359,126350.46,899.54,2.37478481,15.24318987
6,0.278553846,139549.54,1029.27,3.117523364,15.97182243
7,-0.560430769,153024.73,1105.11,4.066695464,16.85775378
8,0.248,170604.73,1286.11,4.871311155,17.73027397
9,-0.536666667,236724.38,1693.89,3.171099338,15.62235762
10,-0.2724,248953.26,1770.14,3.644523507,16.08387548
11,-0.513466667,263706.83,1779.96,4.1956691,16.695
12,-0.285333333,277368.19,1979.82,4.764537037,17.21226852
13,1.947333333,360208.29,2598.8,2.781462347,15.17169877
14,0.775333333,372333.99,2651.18,3.080170794,15.50437233
15,0.495333333,381807.61,2772.54,3.406535893,15.80889816
16,-0.154666667,401118.77,2845.63,3.72634984,16.19904952
17,-2.2965,239119.52,1590.64,1.701487384,14.17831341
18,0.373416667,249300.07,1715.49,2.067003841,14.53441741
19,1.154333333,261405,1862.94,2.542820197,15.00083744
20,1.06825,271709.75,1963.49,2.927630952,15.40058333
21,1.0225,351989.28,2454.17,1.677290837,13.73831843
22,0.29375,364625.56,2683.19,2.101702945,14.1400954
23,-0.92375,378890.07,2928.61,2.546502463,14.6292953
24,-0.32125,393383.08,3047.82,2.932297619,15.01457792
