,Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),Class
0,146151.1,924.63,17.34763158,4.49754386,0
19,366100.83,2151.68,12.92289585,1.780211685,0
47,285497.24,1966.28,16.88673034,4.743483146,0
48,285497.24,1966.28,16.88673034,4.743483146,0
78,370757.16,1876.98,15.33130584,1.986993127,0
100,272117.2,1539.15,14.09200935,2.00963785,0
101,272117.2,1539.15,14.09200935,2.00963785,0
102,272117.2,1539.15,14.09200935,2.00963785,0
0,309604.3705979509,1796.5959756435707,14.446149663258849,3.3528959367870987,0
1,307361.38676453545,1427.8964091943096,14.324572078709027,3.1802986517602734,0
2,320233.1712822822,1712.6560957603606,14.941575639820213,3.469210800965998,0
3,240685.0546465476,1696.9485355695892,15.918358137428532,3.9580792318743407,0
4,320860.0393916732,1869.162776912389,16.35026535757939,2.11027179073179,0
5,257393.8062777273,1709.2091434005245,14.154084566570926,2.6442553068674775,0
6,296898.2443942091,1701.3713292934422,15.276541907557064,1.9780073349970289,0
7,325614.7847567648,1957.6579299620414,14.646364271350718,3.6691722274882634,0
8,274365.85646728013,1634.8131469376783,16.020986776533093,3.734651893527745,0
9,331724.4437795636,1566.3517832926016,14.509750142635186,2.895757752990106,0
10,277288.7806375649,1445.8882229120256,15.846828266069114,3.7492383801475446,0
11,305823.2086096526,1435.7014065627982,15.734650969075817,2.619967899582698,0
12,258808.0789249856,1623.7916672338629,15.77359547528001,3.850824545070094,0
13,313574.2531914504,1929.3978162745188,14.16886443490432,3.4263202760194376,0
14,254825.89774304692,1853.216648328675,15.672921741937454,2.7725817518107223,0
15,268054.85597729747,1905.3469882305312,15.754471559349017,3.5901837286422014,0
16,241764.05436462167,1645.6446620562908,14.841575897772087,2.031956320236291,0
17,252794.9189447049,1655.295001652753,14.891270697757026,3.8980141836249262,0
18,261931.66721153856,1704.8877664737206,16.257612883888186,2.7609909708111586,0
19,249225.73335952853,1957.749800757711,16.24371836559473,2.188647821686064,0
20,237274.89012858196,1962.5385307678475,14.152242296211076,1.9746418292751424,0
21,275216.5285547338,1873.9425626279135,14.130263798268313,3.32712496216963,0
22,327748.0754928702,1829.1489812075242,15.106368061149515,2.3086404601720125,0
23,245856.03901840225,1531.7122243219342,15.470531118465392,2.076352227124097,0
24,255527.5361116373,1431.0709068670785,14.247833664993239,2.608078409478709,0
25,295474.44527778035,1924.060074041622,14.378991012273115,3.8007710989025822,0
26,252118.5400735146,1733.6733627652275,15.229105753987696,3.33472134441834,0
27,321972.91179225314,1808.8229332924914,14.370016729742304,2.2422197396576347,0
28,247590.06108527546,1426.2128439779754,14.677743216932644,2.3508222603200424,0
