,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
0,239,South Dakota,Beresford,4/25/1997,Goldrush 747,8/3/1999,0.77,313353.17,2011.67,4.743483146,17.34763158,2,0.899910256,0.432750437,1.844622928,0.792891863,1.447891584,1.507951959
1,94,South Dakota,Watertown,5/22/1996,DK 127,8/3/1999,0.54,308009.02,2151.68,4.743483146,12.92289585,1,0.899910256,0.432750437,1.172003101,0.743145216,1.447891584,1.312059534
2,119,South Dakota,Watertown,5/5/1998,Columbia 2000,8/3/1999,0.53,351778.87,924.63,3.948774675,12.92289585,1,0.899910256,0.432750437,1.163978081,0.806842105,1.447891584,1.666058604
3,136,South Dakota,Beresford,5/22/1996,ICI 620,8/16/1999,0.54,251287.45,2053.98,3.906333736,17.111028,1,0.899910256,0.432750437,1.825542502,0.782411743,1.447891584,1.19
4,94,South Dakota,Watertown,4/25/1997,MagnumV,8/16/1999,0.77,289113.55,1438.51,4.733560739,17.34763158,1,0.899910256,0.432750437,1.403071515,0.784537865,1.447891584,1.72
5,154,South Dakota,Watertown,5/22/1996,CW 5347,8/16/1999,0.5,271038.26,1954.54,4.347649922,13.23114941,1,0.899910256,0.432750437,0.820714498,0.772253167,1.447891584,1.66952308
6,236,South Dakota,Beresford,5/22/1996,DK 142,8/3/1999,0.54,277303.12,2151.68,4.743483146,12.92289585,1,0.899910256,0.432750437,0.853997726,0.802592613,1.447891584,1.499770547
7,244,South Dakota,Watertown,5/22/1996,Pioneer Brand 5312,8/3/1999,0.69,361334.99,2151.68,2.399266981,16.35915289,1,0.899910256,0.432750437,1.148987902,0.709567118,1.447891584,1.514773713
8,176,South Dakota,Watertown,4/25/1997,Frontier 2000,8/3/1999,0.62,258970.1,2112.14,4.743483146,13.16756877,1,0.899910256,0.432750437,0.670339574,0.778127071,1.447891584,1.60279521
9,252,South Dakota,Highmore,5/5/1998,5347LH,10/1/1999,0.5,345842.56,2045.75,4.743483146,12.99291855,1,0.899910256,0.432750437,1.260265524,0.786993196,1.447891584,1.344481111
10,265,South Dakota,Beresford,4/25/1997,Pioneer Brand 5454,8/3/1999,0.66,162195.17,1829.48,4.743483146,12.92289585,1,0.899910256,0.432750437,1.068522255,0.705806452,1.447891584,1.675257028
11,131,South Dakota,Watertown,5/22/1996,WL 324,8/3/1999,0.85,366100.83,2151.68,4.474281468,16.61329598,2,0.899910256,0.432750437,1.48067317,0.797191831,1.447891584,1.357607388
12,195,South Dakota,Watertown,4/25/1997,CW 5236,8/16/1999,0.72,358390.19,990.89,4.743483146,16.1077447,1,0.899910256,0.432750437,1.510685017,0.77448191,1.447891584,1.55075195
13,122,South Dakota,Highmore,4/25/1997,Rainier,8/3/1999,0.5,310057.01,2151.68,4.269317539,12.92289585,1,0.899910256,0.432750437,1.189493725,0.791269441,1.447891584,1.609713842
14,94,South Dakota,Highmore,5/22/1996,Ciba 2444,10/1/1999,0.67,203805.5,1331.2,4.743483146,12.92289585,2,0.899910256,0.432750437,1.050435761,0.705806452,1.447891584,1.30758656
15,256,South Dakota,Watertown,5/22/1996,Vernal,8/3/1999,0.87,146151.1,2151.68,4.657672111,16.69664168,1,0.899910256,0.432750437,1.201827615,0.705806452,1.447891584,1.386467316
16,94,South Dakota,Beresford,5/5/1998,Rainier,8/16/1999,0.58,303407.71,1000.6,4.743483146,16.24942833,1,0.899910256,0.432750437,1.049425279,0.787938918,1.447891584,1.337151383
17,139,South Dakota,Watertown,5/22/1996,MagnumV,8/16/1999,0.73,265752.95,1082.45,4.540455813,17.32322146,1,0.899910256,0.432750437,1.211990561,0.768292003,1.447891584,1.611759381
18,135,South Dakota,Watertown,4/25/1997,TMF Multiplier II,8/16/1999,0.5,282820.89,1952.02,4.743483146,13.01997317,2,0.899910256,0.432750437,1.895063928,0.72326228,1.447891584,1.44272891
