,Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),Class
0,146151.1,924.63,17.34763158,4.49754386,0
19,366100.83,2151.68,12.92289585,1.780211685,0
47,285497.24,1966.28,16.88673034,4.743483146,0
48,285497.24,1966.28,16.88673034,4.743483146,0
78,370757.16,1876.98,15.33130584,1.986993127,0
100,272117.2,1539.15,14.09200935,2.00963785,0
101,272117.2,1539.15,14.09200935,2.00963785,0
102,272117.2,1539.15,14.09200935,2.00963785,0
0,272484.3211991492,1677.8699589558871,15.132696546961341,2.014823104637991,0
1,264631.05625943444,1731.376080504143,15.254841732849068,3.8855505830118213,0
2,319267.0352099361,1849.8569759356174,14.364061443558894,3.5419159172042542,0
3,261011.99763004738,1823.5696290139015,15.341793941153949,2.688982143845168,0
4,299984.3298106936,1817.423115305019,15.097226160074506,2.759499412353149,0
5,269443.8003593805,1457.824634874232,15.87395743687095,2.4549788031654787,0
6,262858.739258296,1536.349913812649,15.964951142782294,2.57140397187069,0
7,296188.4965338436,1953.833491380179,14.169055758764669,2.7332499156093286,0
8,275111.23231221846,1551.4554519054764,14.839078892446404,2.875622633377584,0
9,280513.6936349537,1873.0017262366655,16.228239502752732,3.9773466548065564,0
10,295652.2095907398,1722.4867766188336,15.58362119063016,3.3184554964003157,0
11,271293.48911684897,1672.025378778937,15.732755103886202,2.217602696457999,0
12,258065.64030228046,1625.6786312167424,15.089985392944481,3.8854493153179894,0
13,311714.6024987821,1634.164919659358,15.122910632238037,2.627853040423213,0
14,276702.4109998308,1867.704953800563,16.306162956022526,3.8648831364144542,0
15,330322.5359506004,1825.0334290069277,14.620796505420007,2.3621758750175292,0
16,260432.7902584311,1579.463952543421,15.339916164765887,2.7647182292745835,0
17,296097.7024821776,1583.7780159872616,15.331102133434893,3.5821872024367556,0
18,280675.0685631453,1752.0464611076754,15.955657514949845,3.3198142315128556,0
19,279494.1038708696,1601.7692849129073,14.766770826608239,2.1911252348662917,0
20,313646.39282161114,1894.3802742732717,15.336178264612222,2.576688593192517,0
21,319304.36339044035,1744.7478221852812,15.862861468519904,3.6533294873682287,0
22,309088.48538539466,1796.094100015598,14.127411760797035,2.829520431390517,0
23,262774.2123118198,1685.3339531071254,16.35833622363635,2.0659920689657794,0
24,323461.19790703245,1413.2415111777436,14.401278616443602,3.540655670073613,0
25,246007.8554291638,1776.4988436811136,14.131995930443221,3.1330317624668678,0
26,236310.38433216236,1722.2610372634213,15.42361879886546,2.2182611215333274,0
27,267557.2202642744,1434.383497236135,14.288777721386452,2.900465649483497,0
28,301062.51764216425,1498.3641394983927,15.938208899832743,2.209212533801857,0
