,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),avg,std,num stds,class
0,1.51,135395.0,840.61,3.242420979,15.2307785,1.483864832,0.729221266,0.144121006,1
1,1.62,149040.0,626.86,3.945062978,16.31022292,1.483864832,0.729221266,0.110445746,1
2,1.61,261582.0,1333.81,2.192832068,14.08148407,1.483864832,0.729221266,0.427818814,1
3,1.05,144315.0,720.54,1.459012681,13.6326803,1.483864832,0.729221266,-0.411688093,1
4,1.55,267878.0,1461.78,2.757382432,16.00485189,1.483864832,0.729221266,0.618664074,1
5,1.01,249695.0,1190.58,1.815076281,12.74715402,1.483864832,0.729221266,-0.431654858,0
6,0.53,272843.0,1649.93,3.994062559,17.34005492,1.483864832,0.729221266,-1.02851578,0
7,1.52,376209.0,2549.83,2.809150408,16.52729104,1.483864832,0.729221266,0.385467334,1
8,0.63,148611.0,599.36,3.735453805,15.9109877,1.483864832,0.729221266,-1.0209448,0
9,1.61,138957.0,654.72,1.71166962,14.0237413,1.483864832,0.729221266,-0.618296288,1
10,1.02,253074.0,1372.27,1.612795318,13.57431176,1.483864832,0.729221266,-0.923458656,0
11,0.59,384175.0,2268.89,3.35787198,16.09169136,1.483864832,0.729221266,-1.31552902,0
12,1.4,250542.0,1844.03,3.497343007,16.35884699,1.483864832,0.729221266,-0.165410712,1
13,0.9,253604.0,1338.87,3.089627265,16.65891122,1.483864832,0.729221266,-0.52694226,0
14,1.67,375118.0,2227.61,3.069858805,15.72400336,1.483864832,0.729221266,0.286579154,1
15,2.23,239052.0,1605.63,1.761747065,15.74004649,1.483864832,0.729221266,4.030906754,2
16,1.86,251207.0,1321.91,2.931801978,15.67047599,1.483864832,0.729221266,1.467193571,2
17,2.0,144921.0,725.19,3.953827965,15.80884979,1.483864832,0.729221266,1.243206983,2
18,1.72,252624.0,1440.16,3.67134011,15.74877081,1.483864832,0.729221266,0.050677379,1
19,1.6,364328.0,1783.88,1.230629394,13.44606261,1.483864832,0.729221266,-0.222425486,1
20,0.67,381229.0,2506.94,4.09033972,14.30476713,1.483864832,0.729221266,-1.176374907,0
21,1.29,253382.0,1239.55,3.000588326,15.88869043,1.483864832,0.729221266,-0.690793883,1
22,1.4,371833.0,1759.8,2.448030123,15.61346145,1.483864832,0.729221266,-0.108457497,1
23,3.33,368725.0,2023.17,2.385274341,15.14951863,1.483864832,0.729221266,0.985734551,2
24,0.89,258302.0,1222.63,4.060220034,15.64198056,1.483864832,0.729221266,-0.589585279,0
25,1.27,364147.0,1971.26,3.677255154,16.156178,1.483864832,0.729221266,-0.559667789,1
26,1.47,355121.0,2166.76,1.890112328,13.11192731,1.483864832,0.729221266,0.675389787,1
27,1.67,140768.0,1305.89,3.53175266,16.09190177,1.483864832,0.729221266,0.343903368,1
28,1.6,136214.0,659.77,2.278866136,15.24219748,1.483864832,0.729221266,0.494647883,1
29,1.39,245990.0,1516.74,1.233063362,13.82066727,1.483864832,0.729221266,-0.298895008,1
30,0.93,268176.0,1651.14,4.350001714,16.50146299,1.483864832,0.729221266,-1.280755099,0
31,1.34,369124.0,2490.45,1.528001931,13.38621231,1.483864832,0.729221266,-0.265172252,1
32,1.39,137567.0,948.09,1.748774252,13.72168758,1.483864832,0.729221266,-0.267644277,1
33,2.38,359589.0,1821.4,2.094821267,15.06734773,1.483864832,0.729221266,1.012056472,2
34,0.93,244089.0,1445.48,2.015979609,15.95178539,1.483864832,0.729221266,-0.773917168,0
35,0.73,284634.0,1879.27,4.669110246,17.11566345,1.483864832,0.729221266,-1.072226299,0
36,0.88,164366.0,898.32,4.93924406,16.80272598,1.483864832,0.729221266,-0.672558908,0
37,1.52,142310.0,586.86,2.974331215,16.01666906,1.483864832,0.729221266,0.281247637,1
38,1.51,359680.0,2238.51,1.77996467,15.81432805,1.483864832,0.729221266,0.192698204,1
39,2.04,128988.0,695.15,2.036296192,15.7336082,1.483864832,0.729221266,1.222736208,2
40,1.14,377393.0,2402.63,1.57399437,13.92450221,1.483864832,0.729221266,-0.936267778,1
41,1.61,143850.0,1357.89,3.855502579,16.00669377,1.483864832,0.729221266,0.402414187,1
42,0.67,277699.0,1896.64,4.020089273,16.91744033,1.483864832,0.729221266,-0.988664164,0
43,0.79,250750.0,1039.46,2.189431362,15.6082557,1.483864832,0.729221266,-1.111253143,0
44,1.23,146204.0,1311.64,3.805716461,16.84139201,1.483864832,0.729221266,-0.588832036,1
45,1.25,143251.0,854.25,3.606055362,16.32103856,1.483864832,0.729221266,-0.559068018,1
46,0.82,264462.0,1774.98,1.809404211,15.83975265,1.483864832,0.729221266,-0.81182978,0
47,2.47,243234.0,1881.27,2.820262438,15.90405713,1.483864832,0.729221266,2.159756748,2
48,1.91,240844.0,1338.24,0.922681764,13.29543245,1.483864832,0.729221266,0.495789988,1
49,1.68,348019.0,2251.36,1.502755302,12.29891241,1.483864832,0.729221266,-0.077073625,2
50,0.94,158672.0,924.54,3.615137307,16.48271829,1.483864832,0.729221266,0.054937219,1
51,1.05,357633.0,2285.29,0.630980516,12.1243413,1.483864832,0.729221266,-0.95108395,0
52,2.07,247325.0,1783.31,2.420417295,15.1417897,1.483864832,0.729221266,1.561866689,2
53,1.36,145688.0,611.2,1.638320063,15.50206242,1.483864832,0.729221266,-0.353861204,1
54,1.94,364404.0,2010.39,2.104723941,13.33588753,1.483864832,0.729221266,0.649244106,2
55,1.7,244318.0,1187.14,2.449606391,15.28275394,1.483864832,0.729221266,0.623383052,1
56,3.24,236177.0,1520.15,2.096106961,14.87568234,1.483864832,0.729221266,1.564092706,2
57,1.52,344880.0,1186.15,0.973928187,12.59029462,1.483864832,0.729221266,0.591550412,1
58,1.14,347079.0,1405.54,0.427548046,11.2583727,1.483864832,0.729221266,-0.276086336,0
59,0.61,257968.0,1712.83,2.077047719,13.96900179,1.483864832,0.729221266,-1.029485297,0
60,1.94,132918.0,878.18,2.430502169,13.61012262,1.483864832,0.729221266,0.260680575,2
61,1.02,370183.0,1908.4,1.109182821,13.93767859,1.483864832,0.729221266,-0.240227392,0
62,0.73,271724.0,1410.94,3.664063897,15.90783886,1.483864832,0.729221266,-1.393876109,0
63,2.28,133590.0,700.91,2.880878184,16.06562471,1.483864832,0.729221266,1.142378442,2
64,2.0,368233.0,2272.32,2.052570823,14.33840018,1.483864832,0.729221266,0.735182095,2
65,0.82,132464.0,779.19,1.897098018,12.7659144,1.483864832,0.729221266,-0.421379753,0
66,1.41,128893.0,795.93,2.322130646,15.57076836,1.483864832,0.729221266,-0.033091744,1
67,1.26,378113.0,2413.84,3.899946693,15.65304152,1.483864832,0.729221266,-0.397045208,1
68,1.8,362302.0,2306.02,1.754276402,13.50915096,1.483864832,0.729221266,0.378603719,2
69,2.75,371946.0,2292.7,1.925772565,15.44503664,1.483864832,0.729221266,0.988029672,2
70,1.47,255009.0,986.47,3.178340083,15.75494671,1.483864832,0.729221266,-0.366164096,1
71,2.79,147825.0,1604.65,3.049117025,15.44174513,1.483864832,0.729221266,2.195261507,2
72,1.23,371049.0,2139.77,1.91432177,15.57717629,1.483864832,0.729221266,-0.179942047,1
73,2.12,255541.0,1484.13,2.127929943,14.14159607,1.483864832,0.729221266,0.864054605,2
74,0.84,368934.0,1827.4,3.364900392,15.67617735,1.483864832,0.729221266,-1.014651668,0
75,0.94,154203.0,611.94,4.050607955,17.19354562,1.483864832,0.729221266,-0.717443477,1
76,1.39,366954.0,2280.49,1.581359222,13.27455327,1.483864832,0.729221266,-0.280062748,1
77,2.0,229275.0,1272.94,1.809024348,12.46807096,1.483864832,0.729221266,1.105691614,2
78,1.13,149728.0,586.86,1.276908479,13.79685205,1.483864832,0.729221266,-0.681148402,0
79,1.01,257047.0,1799.15,3.819309793,15.69896575,1.483864832,0.729221266,-0.559897273,0
80,0.76,155013.0,611.9,3.049324502,16.45389695,1.483864832,0.729221266,-0.965706586,0
81,1.21,369933.0,2514.72,2.240251138,15.37175997,1.483864832,0.729221266,-0.394402721,1
