,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C)
2038,4.48,354427.74,2166.76,14.88994671,2.118117229
2039,4.56,132123.53,966.71,14.85992683,2.55902439
2040,4.56,132123.53,966.71,14.85992683,2.55902439
2041,4.58,132123.53,966.71,14.85992683,2.55902439
2042,4.62,132123.53,966.71,14.85992683,2.55902439
2043,4.69,132123.53,966.71,14.85992683,2.55902439
2044,4.7,132123.53,966.71,14.85992683,2.55902439
2045,4.93,132123.53,966.71,14.85992683,2.55902439
0,0.23429092680267788,438052.9688223187,2868.18532497084,16.561628868151967,3.486676131961988
1,0.34190266336015035,367601.8100752901,1494.381004456066,16.18266925668671,3.5960709482471156
2,0.21342215624877703,362579.24367007497,2449.2290766738834,16.36779057010909,3.585277398886561
3,0.3390144638163404,427554.63769233745,1487.811940758184,16.277179699457907,3.861741629188628
4,0.29603268822206386,422458.6301540477,1879.4671745780674,16.618293138641608,3.5812384150419803
5,0.30464908106408173,350775.5759989085,2543.4839274115993,16.542054114519573,3.905130105686597
6,0.19638103278087077,304268.71360941813,1503.9466250750368,16.512616935367095,3.8380529965869497
7,0.20927783128828276,340546.3419631575,2756.2676590919436,16.229097825311754,3.41412903624246
8,0.29813024031360774,422013.9922564849,1814.3695169027549,16.525848954110135,3.605183722410155
9,0.36320119877741086,419195.19103523134,2674.817351342147,16.334897447822424,3.910606144359816
10,0.24880998276007224,390819.5794603387,2297.625711282904,16.49194434379892,3.954621724009026
11,0.29347378415575737,325244.30676154734,1351.4868440134246,16.50562674394057,3.9865413124846345
12,0.29687951720410305,420148.39609334845,2885.3207436868124,16.1455371921327,3.4486919664770457
13,0.2591522858018866,330293.36741352343,2175.5572320384917,16.405919487934785,3.6621020338831434
14,0.2921172239132418,350227.5679083914,1361.197751600786,16.1239053316864,3.383647270577266
15,0.39022954534578624,368131.65228754183,1496.4892262703515,16.35606111310932,3.7930870516340867
16,0.25225802771557854,356114.4113946102,1302.5164002964066,16.51321187582637,3.4241147727219214
17,0.2406948842606302,420726.33027337777,2299.616461196533,16.320889289213905,3.5550214044717063
18,0.22242021954564606,313378.0360075213,1977.036759606988,16.249233562258198,3.4069529113684043
19,0.24633757479612975,361989.6388061095,1925.4078133549315,16.153588850566436,3.542610420775543
20,0.3485585077431024,336687.4785875879,2347.8417450588904,16.191482561777683,3.9135549588398764
21,0.2141472716337908,353405.99422742455,1347.5985671820854,16.306029487488455,3.356521382181329
22,0.34339645651310746,371405.1856312373,2543.6881213575316,16.368659499520916,3.6688769675849158
23,0.243561637410312,332539.9881953645,1394.717433518617,16.444398916227343,3.6013260350665197
24,0.32497166427066626,426273.9677703306,2878.645473444926,16.572816519586937,3.6905160296524957
25,0.28632371297416537,384256.8403503869,1741.0797706693083,16.614509468312406,3.9504570127275698
26,0.32185254973614985,340561.5217061916,1419.2260397358455,16.348168539047727,3.610177049444893
27,0.3656575670153065,380196.46595347824,2848.6217186299964,16.25250962334423,3.5898108133403115
28,0.3129241132452422,398968.34033440053,2846.776785969644,16.130720689259004,3.6559419315153487
29,0.34826369344887365,418111.05821084976,2236.2891064734,16.340351685231866,3.792208561073245
30,0.20058226449700642,339900.5513041722,1451.6757457597537,16.531627899226535,4.0121091427540705
31,0.32672509316839016,318395.8773726488,1828.945482679204,16.587759995986318,3.533344408843409
32,0.3492850143125258,439074.0890910075,1837.0763558970643,16.630858611713172,3.3589405199533986
33,0.26687665468164,319271.2420422039,2714.668190077349,16.447713218273847,3.945530288192219
34,0.31332094319936976,314184.20681505156,2706.1180322035684,16.311007595174278,3.6484576213008184
35,0.22969871880806128,367770.8313303907,2506.329035701796,16.319742916140644,3.812341663463916
36,0.3646756855972262,376499.2061690902,1596.3638571882898,16.237403571885686,3.6574691979420506
37,0.2843624478000925,404786.8609701808,2296.41009941863,16.264641357475544,3.397597253134157
38,0.23027888863066914,435786.3564793662,1460.1299781438188,16.29803486990692,3.877322513900254
39,0.3652136438123912,341199.6058029032,1841.8226119390404,16.44090533776733,3.763653800056642
40,0.2688245496538946,426315.36019723734,1830.540471050872,16.52632212623059,3.349512052118841
41,0.3787467922023836,396923.3368917288,2653.5634313249775,16.59066165696254,3.46377515277003
42,0.36210028549964035,336640.2642014756,1604.1161269487452,16.481855615048218,4.0124941479015215
43,0.3415423321503776,306498.5641740018,1711.3975303045786,16.2841403838844,3.4234660339104916
44,0.3710847085890372,392637.1218122477,2803.5163614246662,16.231732870351284,3.758720737235072
45,0.31256578751601183,439412.84991498914,1631.3514620269789,16.520102545415497,3.7895226665001527
46,0.3309939016467107,433271.46249105164,2083.7643375052157,16.178499152426678,3.6312194352064826
47,0.24570468999636969,311629.62323060393,1676.9244877990238,16.548018974050816,3.6978920646256364
48,0.19934810793884833,397558.5578636617,2612.735007652067,16.478654680091804,3.3414498415868197
