index,yield,radiation,rain,avg_min_temp,avg_max_temp,class
1,-0.67,97043.78,849.54,1.83196319,12.53825153,2
2,-0.291764706,111165.34,982.35,2.091315789,13.6068232,1
3,0.016176471,127373.62,1025.06,3.988656716,15.13656716,1
4,0.47117647,145908.86,1209.26,4.855676856,16.18844978,1
5,-0.235679514,222764.9,1645.9,2.658453039,14.07882597,2
6,-0.12494929,233428.32,1747.58,3.058801598,14.51314248,1
7,-0.285578093,246376.77,1885.27,3.65188535,15.16921019,1
8,0.082170386,259627.23,1895.69,4.169621951,15.71620732,1
9,0.061379311,334406.79,2571.86,3.426520548,14.60146119,2
10,-0.390344828,345746.14,2655.19,3.663143366,14.87349955,1
11,-0.261034483,358274.96,2745.44,4.034740484,15.2657699,1
12,-0.509310345,369572.14,2837.08,4.321103623,15.56836563,1
13,-0.64754123,351490.4,2923.54,3.935344978,14.76383406,1
14,-0.028695652,363694.71,3037.22,4.201581633,15.09379252,1
15,-0.859295353,377648.1,3062.92,4.480785124,15.45815702,0
16,0.048725637,390285.08,3271.61,4.823298639,15.81248999,1
17,0.530282609,133121.9,1075.68,4.125628019,15.36108696,2
18,0.321195652,151399.45,1242.36,4.751512415,16.05191874,1
19,0.71976087,156328.76,1304.63,5.530189474,16.86642105,1
20,-0.335673913,181353.48,1624.62,6.082028986,17.6748913,0
21,-0.0585,243281.48,2239.9,3.374664083,14.65608527,2
22,-0.0655,257018.19,2383.18,3.79791358,15.08996296,1
23,0.1455,269075.76,2478.2,4.131309524,15.47461905,1
24,0.161,280405.14,2610.25,4.488339061,15.83224513,1
25,-0.5085,350516.62,3126.55,3.424244032,14.46252874,1
26,-0.0215,363176.21,3249.93,3.776223176,14.81593991,1
27,-0.279,374128.96,3310.91,4.089077955,14.90641944,1
28,-0.111,386512.13,3332.96,4.418873469,15.49115918,0
29,0.034,309708.35,2793.15,2.589193392,13.29340136,1
30,0.0165,320869.4,2847.1,2.895033113,13.61499527,1
31,-0.027,334594.63,2969.34,3.350100825,14.14237397,1
32,0.686,349910.53,3078.32,3.782986784,14.60087225,1
33,0.3225,358131.76,2956.04,4.346327586,15.29726724,2
34,-0.2785,368594.73,3083.51,4.578484848,15.53722222,1
35,0.1055,382721.84,3160.5,4.920375204,15.89597064,1
36,-0.218,399815.75,3264.98,5.18277865,16.22211931,1
37,0.067352941,91816.98,679.93,-0.779805195,10.31564935,2
38,0.562970588,105383.68,854.22,0.827913043,11.96614493,1
39,0.092911765,118949.84,948.6,1.924591029,13.17567282,1
40,-0.269205882,135121.87,1130.64,3.006728972,14.35775701,1
41,-0.413464052,197589.64,1460.86,0.546828528,11.58597876,1
42,0.26130719,218434.02,1748.88,1.492633053,12.57686275,1
43,0.200588235,230310.75,1845.42,2.050389785,13.1946371,1
44,0.155816993,246715.09,1954.38,2.729508197,13.90006305,1
45,0.575,312944.33,2506.68,2.122600768,13.0875048,2
46,-1.19,325397.9,2529.12,2.411802054,13.47390289,1
47,-0.523333333,338008.69,2618.63,2.854542986,13.96820814,1
48,0.174444445,353595.75,2915.01,3.357001733,14.50030329,1
49,0.089027778,118803.75,1186.6,5.262137405,16.19157761,2
50,0.174722222,129899.75,1247.04,5.835035629,16.88731591,1
51,0.005833333,140517.18,1327.17,6.474008909,17.56391982,1
52,-0.896388889,157910.79,1401.1,7.019575758,18.28739394,0
53,0.231628788,234049.77,2188.17,4.483005181,15.43972798,2
54,0.206136364,243695.23,2213.55,4.853751568,15.83898369,1
55,-0.2725,257054.63,2282.72,5.319663462,16.36927885,0
56,0.262651515,278684.13,2555.83,5.821526549,16.84932522,0
57,0.138636363,342988.87,3152.4,4.252913386,14.88916885,2
58,0.400454545,353875.21,3237.78,4.526931624,15.20565812,1
59,0.232727273,367890.42,3310.07,4.904610927,15.61874172,1
60,-0.253636364,388541.9,3607.51,5.134458301,15.83861263,0
61,-1.126515151,204776.61,1939.43,3.638082386,13.57440341,1
