,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
1146,South Dakota,Watertown,5/3/2001,WL342,7/8/2003,0.53,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.751217597,,1.71334188,1.225
1147,South Dakota,Watertown,5/3/2001,Reliance,7/8/2003,0.5,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.7627716,,1.71334188,1.23
1148,South Dakota,Watertown,5/3/2001,Feast + EV,7/8/2003,0.46,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.7627716,,1.71334188,1.23
1149,South Dakota,Watertown,5/3/2001,Macon,7/8/2003,0.5,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.670339574,,1.71334188,1.19
1150,South Dakota,Watertown,5/3/2001,Monument II,7/8/2003,0.54,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.65878557,,1.71334188,1.185
1151,South Dakota,Watertown,5/3/2001,Frontier 2000,7/8/2003,0.52,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.670339574,,1.71334188,1.19
1152,South Dakota,Watertown,5/3/2001,Traffic,7/8/2003,0.44,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.52013753,,1.71334188,1.125
1153,South Dakota,Watertown,5/3/2001,Husky Supreme,7/8/2003,0.47,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.577907547,,1.71334188,1.15
1154,South Dakota,Watertown,5/3/2001,Maverick,7/8/2003,0.51,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.635677564,,1.71334188,1.175
1155,South Dakota,Watertown,5/3/2001,GoldRush 747,7/8/2003,0.45,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.601015554,,1.71334188,1.16
1156,South Dakota,Watertown,5/3/2001,Vernal,7/8/2003,0.38,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.462367513,,1.71334188,1.1
1157,South Dakota,Watertown,5/3/2001,Somerset,7/8/2003,0.41,248458.22,1267.22,1.631794228,13.61200753,0,0.899910256,0.432750437,0.48547552,,1.71334188,1.11
1143,South Dakota,Watertown,5/3/2001,WL327,7/8/2003,0.52,248458.22,1267.22,1.631794228,13.61200753,1,0.899910256,0.432750437,0.820541617,0.492,1.71334188,1.255
1144,South Dakota,Watertown,5/3/2001,HybriForce 400,7/8/2003,0.58,248458.22,1267.22,1.631794228,13.61200753,1,0.899910256,0.432750437,0.843649624,,1.71334188,1.265
1145,South Dakota,Watertown,5/3/2001,54V54,7/8/2003,0.57,248458.22,1267.22,1.631794228,13.61200753,1,0.899910256,0.432750437,0.912973644,,1.71334188,1.295
1102,South Dakota,Beresford,4/28/2000,Excel,9/1/2003,0.93,391460.5,2439.24,3.13047502,15.9217199,2,0.899910256,0.432750437,3.200666307,0.61,1.71334188,2.285
1103,South Dakota,Beresford,4/28/2000,6420,9/1/2003,0.72,391460.5,2439.24,3.13047502,15.9217199,2,0.899910256,0.432750437,2.946478233,,1.71334188,2.175
