,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
756,South Dakota,Highmore,5/5/1998,DK140,7/12/2001,0.83,370757.16,1876.98,1.986993127,15.33130584,0,0.899910256,0.432750437,0.774325604,,1.468765052,1.235
758,South Dakota,Highmore,5/5/1998,Frontier 2000,7/12/2001,1.02,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,0.947635654,,1.468765052,1.31
761,South Dakota,Highmore,5/5/1998,CW72008,7/12/2001,1.04,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,0.947635654,,1.468765052,1.31
762,South Dakota,Highmore,5/5/1998,CW5236,7/12/2001,0.99,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,0.947635654,,1.468765052,1.31
748,South Dakota,Highmore,5/5/1998,Pioneer Brand 53Q60,7/12/2001,1.13,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,1.259593744,,1.468765052,1.445
752,South Dakota,Highmore,5/5/1998,Garst 620,7/12/2001,1.14,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,1.224931734,,1.468765052,1.43
754,South Dakota,Highmore,5/5/1998,Husky Supreme,7/12/2001,1,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,1.109391701,,1.468765052,1.38
755,South Dakota,Highmore,5/5/1998,TMF 421,7/12/2001,0.99,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,1.132499708,,1.468765052,1.39
757,South Dakota,Highmore,5/5/1998,TMF Multiplier II,7/12/2001,0.91,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,1.144053711,,1.468765052,1.395
749,South Dakota,Highmore,5/5/1998,WL 325HQ,7/12/2001,1.27,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,1.328917764,,1.468765052,1.475
751,South Dakota,Highmore,5/5/1998,Vernal,7/12/2001,1.05,370757.16,1876.98,1.986993127,15.33130584,1,0.899910256,0.432750437,1.352025771,,1.468765052,1.485
746,South Dakota,Highmore,5/5/1998,MagnumV,7/12/2001,1.15,370757.16,1876.98,1.986993127,15.33130584,2,0.899910256,0.432750437,1.421349791,,1.468765052,1.515
750,South Dakota,Highmore,5/5/1998,Goldrush 747,7/12/2001,1.13,370757.16,1876.98,1.986993127,15.33130584,2,0.899910256,0.432750437,1.432903795,,1.468765052,1.52
745,South Dakota,Highmore,5/5/1998,WL 324,7/12/2001,1.37,370757.16,1876.98,1.986993127,15.33130584,2,0.899910256,0.432750437,1.548443828,1.113888889,1.468765052,1.57
753,South Dakota,Highmore,5/5/1998,Pioneer Brand 53V63,7/12/2001,1.1,370757.16,1876.98,1.986993127,15.33130584,2,0.899910256,0.432750437,1.502227815,,1.468765052,1.55
759,South Dakota,Highmore,5/5/1998,CW72005,7/12/2001,1.29,370757.16,1876.98,1.986993127,15.33130584,2,0.899910256,0.432750437,1.502227815,,1.468765052,1.55
760,South Dakota,Highmore,5/5/1998,CW5321,7/12/2001,1.28,370757.16,1876.98,1.986993127,15.33130584,2,0.899910256,0.432750437,1.502227815,,1.468765052,1.55
747,South Dakota,Highmore,5/5/1998,WL 232HQ,7/12/2001,1.36,370757.16,1876.98,1.986993127,15.33130584,2,0.899910256,0.432750437,1.698645871,,1.468765052,1.635
824,South Dakota,Watertown,4/3/1999,Spirit,8/6/2001,0.92,272117.2,1539.15,2.00963785,14.09200935,1,0.899910256,0.432750437,0.955338323,,1.468765052,1.313333333
832,South Dakota,Watertown,4/3/1999,FQ 314,8/6/2001,0.9,272117.2,1539.15,2.00963785,14.09200935,1,0.899910256,0.432750437,0.963040992,,1.468765052,1.316666667
834,South Dakota,Watertown,4/3/1999,Excalibur II,8/6/2001,0.86,272117.2,1539.15,2.00963785,14.09200935,1,0.899910256,0.432750437,0.986148998,,1.468765052,1.326666667
838,South Dakota,Watertown,4/3/1999,WinterKing,8/6/2001,0.8,272117.2,1539.15,2.00963785,14.09200935,1,0.899910256,0.432750437,0.955338323,,1.468765052,1.313333333
839,South Dakota,Watertown,4/3/1999,DK140,8/6/2001,0.89,272117.2,1539.15,2.00963785,14.09200935,0,0.899910256,0.432750437,0.916824978,,1.468765052,1.296666667
840,South Dakota,Watertown,4/3/1999,Legend Gold,8/6/2001,0.86,272117.2,1539.15,2.00963785,14.09200935,0,0.899910256,0.432750437,0.878311634,,1.468765052,1.28
841,South Dakota,Watertown,4/3/1999,Vernal,8/6/2001,0.9,272117.2,1539.15,2.00963785,14.09200935,0,0.899910256,0.432750437,0.916824978,,1.468765052,1.296666667
842,South Dakota,Watertown,4/3/1999,Award,8/6/2001,0.83,272117.2,1539.15,2.00963785,14.09200935,1,0.899910256,0.432750437,0.832095621,,1.468765052,1.26
