,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Harvested in Sown Year,First Date of Season,Percent Cover (%),,Class
1,South Dakota,Beresford,4/25/1997,Ciba 2444,5/27/1999,147,2.3,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
2,South Dakota,Beresford,4/25/1997,Pioneer Brand 5454,5/27/1999,147,2.25,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
3,South Dakota,Beresford,4/25/1997,Amerigraze 401+Z,5/27/1999,147,2.21,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
4,South Dakota,Beresford,4/25/1997,ICI 631,5/27/1999,147,2.18,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
5,South Dakota,Beresford,4/25/1997,Avalanche +Z,5/27/1999,147,2.17,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
6,South Dakota,Beresford,4/25/1997,Depend +Ev,5/27/1999,147,2.12,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
7,South Dakota,Beresford,4/25/1997,TMF Multiplier II,5/27/1999,147,2.66,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
8,South Dakota,Beresford,4/25/1997,WL 325HQ,5/27/1999,147,2.25,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
9,South Dakota,Beresford,4/25/1997,DK 140,5/27/1999,147,2.19,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
10,South Dakota,Beresford,4/25/1997,Asset,5/27/1999,147,2.13,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
11,South Dakota,Beresford,4/25/1997,Pioneer Brand 5312,5/27/1999,147,2.13,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
12,South Dakota,Beresford,4/25/1997,Excalibur II,5/27/1999,147,2.13,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
13,South Dakota,Beresford,4/25/1997,Ciba 2888,5/27/1999,147,2.15,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
14,South Dakota,Beresford,4/25/1997,DK 127,5/27/1999,147,2.25,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
15,South Dakota,Beresford,4/25/1997,WL 324,5/27/1999,147,2.06,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
16,South Dakota,Beresford,4/25/1997,Rhino,5/27/1999,147,1.95,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
17,South Dakota,Beresford,4/25/1997,5347LH,5/27/1999,147,2,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
18,South Dakota,Beresford,4/25/1997,Innovator +Z,5/27/1999,147,2.12,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
19,South Dakota,Beresford,4/25/1997,Spartan,5/27/1999,147,2.08,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
20,South Dakota,Beresford,4/25/1997,ICI 620,5/27/1999,147,2.01,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
21,South Dakota,Beresford,4/25/1997,Complete,5/27/1999,147,2.07,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
22,South Dakota,Beresford,4/25/1997,DK 142,5/27/1999,147,2.05,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
23,South Dakota,Beresford,4/25/1997,Rainier,5/27/1999,147,2.08,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
24,South Dakota,Beresford,4/25/1997,Spur,5/27/1999,147,2.06,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
25,South Dakota,Beresford,4/25/1997,Ace,5/27/1999,147,1.99,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
26,South Dakota,Beresford,4/25/1997,Vernal,5/27/1999,147,1.87,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
27,South Dakota,Beresford,4/25/1997,CW 5305,5/27/1999,147,2.23,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
28,South Dakota,Beresford,4/25/1997,CW 5347,5/27/1999,147,2.02,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
29,South Dakota,Beresford,4/25/1997,CW 5321,5/27/1999,147,2.06,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
30,South Dakota,Beresford,4/25/1997,CW 2227,5/27/1999,147,2.04,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
31,South Dakota,Beresford,4/25/1997,CW 5236,5/27/1999,147,2.04,762,0,237920.06,1566.72,,3.256238532,15.27348624,,,,,
32,South Dakota,Beresford,4/25/1997,Ciba 2444,7/7/1999,188,1.51,803,41,252511,1839.35,,3.821579602,15.80236318,,,,,
33,South Dakota,Beresford,4/25/1997,Pioneer Brand 5454,7/7/1999,188,1.38,803,41,252511,1839.35,,3.821579602,15.80236318,,,,,
34,South Dakota,Beresford,4/25/1997,Amerigraze 401+Z,7/7/1999,188,1.37,803,41,252511,1839.35,,3.821579602,15.80236318,,,,,
