,yield,radiation,rain,avg_min_temp,avg_max_temp,class
3,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
18,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
0,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
1,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
2,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
3,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
4,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
5,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
6,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
7,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
8,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
9,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
10,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
11,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
12,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
13,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
14,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
15,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
16,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
17,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
18,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
19,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
20,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
21,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
22,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
23,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
24,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
25,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
26,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
27,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
28,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
29,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
30,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
31,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
32,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
33,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
34,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
35,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
36,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
37,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
38,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
39,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
40,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
41,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
42,0.06426901,164310.96,706.54,3.235594262,17.35893443,0
