,index,yield,radiation,rain,avg_min_temp,avg_max_temp,class
0,757712695,-0.696378273,270450.8633538704,952.4,3.701051534,11.27348481,0
1,774510748,-0.4308243,257845.25205546606,2184.64,-0.326393035,11.2583727,2
2,403604820,-1.201906355,240952.14448927192,692.17,2.862897017,12.35334036,1
3,282377106,-0.820273385,379484.01,1946.04,2.603151666,12.03748941,2
4,163410770,-1.150707958,300540.04931014666,2114.39,0.826758891,11.53406164,0
5,663831155,-1.17749485,192559.79472432318,2016.62,3.670203918,11.96087419,2
6,13170241,-0.873446562,152417.7397874605,1244.11,2.756138254,13.36060236,0
7,270133960,-0.43340013,117081.45,620.06,0.506407723,12.72061287,0
8,36843079,-1.390833333,300798.1472498413,1746.58,2.475088237,15.72643737,0
9,283920064,-1.137005169,124334.64906166363,1898.38,-0.326393035,14.17385547,1
10,361731510,-0.069461556,248054.7139132652,620.06,-0.326393035,14.14385026,0
11,939509347,-0.423068623,161767.65776228785,620.06,2.3375032,14.80942022,0
12,681289224,0.596147124,295814.31176976225,1512.76,-0.326393035,12.06263115,2
13,404045367,0.061413474,371854.93470485567,620.06,3.960523586,13.04308844,0
14,684531650,-0.746749072,379484.01,1409.42,1.689999818,13.70383806,1
15,380472947,-0.921747255,241942.34624558841,921.35,1.406798245,14.83652138,1
16,265138753,-0.67285949,379484.01,1794.82,-0.01947958,13.27640768,1
17,421303816,0.102015673,379484.01,872.97,0.66465918,12.6145872,2
18,59581200,-1.390833333,210019.56307714662,1323.98,0.925344186,11.46759361,1
19,321885031,-1.390833333,123351.16611897535,2326.07,1.499022884,14.54014705,0
20,698827625,0.027425311,319022.1948378979,1235.84,0.262401248,11.9339406,2
21,506330463,0.137033478,211654.72778733546,2212.64,0.12740956,13.74530715,2
22,755250980,-0.798774373,330984.02362300496,753.8,1.042044748,12.03426273,2
23,409430255,-0.09590039,311037.22329901595,1483.4,2.444032629,11.718663,1
24,47276678,-0.3283637,214332.3874707801,620.06,0.065031875,11.56905419,1
25,863415985,-0.370986737,265641.29522216116,2326.07,2.683724743,11.8709421,0
26,638562125,-0.995753895,233628.9496742916,1563.97,-0.326393035,12.6756584,1
27,955625637,-1.123289189,308654.5040328295,1629.91,-0.081757629,13.2129284,0
28,220752314,-1.390833333,257742.60483056924,1826.54,2.307495298,12.70274436,1
29,276406952,-0.846489637,212139.28238540638,1253.15,2.027527621,11.2583727,1
30,392584493,-1.390833333,197223.31197711578,1636.28,-0.326393035,15.18510697,0
31,815951412,-0.520160354,157563.3556128883,1449.25,0.961902717,13.75268226,0
32,421642863,1.150666667,379484.01,2257.22,1.023428737,12.23366722,2
33,543904230,-0.313685602,207253.90486086105,2009.12,2.058978634,13.42757731,1
34,774334106,-0.495625369,191880.55760092486,1247.55,-0.326393035,11.2583727,1
35,586998332,-1.078773716,129255.83812841304,1423.46,0.659701025,14.19685041,0
36,729255479,-0.995459167,117081.45,1923.1,0.427667734,12.37175131,1
37,407694242,0.472669595,347943.2687517225,2165.09,-0.326393035,11.2583727,1
38,512239553,-0.213751225,337027.02716688334,1725.53,2.188978965,12.74315862,2
39,374140957,0.009027357,379484.01,1466.48,2.844366862,13.85920663,2
40,229849040,-0.303647678,165204.88537349078,1214.78,0.432105757,12.51044937,1
41,599784269,0.9106278,330662.3185051678,1645.58,-0.326393035,12.87457564,2
42,13142910,-0.134633178,211133.0205399924,1855.1,-0.326393035,11.54710427,2
43,674347314,-0.577407959,157155.7254085016,1615.56,1.49330956,14.30777364,0
44,124693481,-0.406427827,379484.01,1674.06,-0.326393035,12.33189107,1
45,386256508,-0.090361862,308270.85282378644,2326.07,1.488220456,11.2583727,2
46,778819801,-1.390833333,301728.79571173387,1034.32,-0.326393035,11.2583727,1
47,468125012,-0.700257083,187935.9563150572,1816.98,1.04044508,13.85000591,1
48,863017745,-1.390833333,379484.01,620.06,0.573337091,11.2583727,0
49,844580040,-0.039081401,162344.46326486854,1964.09,-0.326393035,12.54761939,1
50,190710259,1.150666667,273829.95469868626,2326.07,-0.326393035,15.05546912,2
51,752134463,-0.222382614,222435.83107491137,965.93,0.584792704,11.2583727,0
52,847041011,-1.390833333,219452.64794784068,1765.2,-0.326393035,11.2583727,1
